,,,,,,,,result,reason,,Row Labels,Count of result
1164,scc,22124868_0.java,1,28,freecol-0/freecol/src/net/sf/freecol/common/model/EquipmentType.java,63,89,BP,110,,,
580,scc,10055548_0.java,52,79,geotools-2/geotools-2.7-M3/modules/unsupported/geometry/src/main/java/org/geotools/geometry/iso/primitive/SurfaceBoundaryImpl.java,67,93,BP,111,,,
1035,scc,16688737_0.java,20,40,nakedobjects-4.0.0/nakedobjects-4.0.0/core/runtime/src/main/java/org/nakedobjects/runtime/persistence/query/PersistenceQueryAbstract.java,32,51,BP,111,,,
2120,simian,19154487_0.java,2,14,hibernate-release-4/hibernate-release-4.2.2.Final/project/hibernate-core/src/test/java/org/hibernate/test/annotations/access/xml/Driver.java,9,21,AC,111,,,
1629,scc,5961624_0.java,13,33,geotools-2/geotools-2.7-M3/modules/library/render/src/main/java/org/geotools/map/MapLayer.java,211,230,BP,112,,,
1736,scc,9591522_0.java,18,45,eclipse_SDK/eclipse_SDK-4.3/src/src/org/eclipse/core/resources/FileInfoMatcherDescription.java,23,49,BP,112,,,
1965,simian,23397256_0.java,70,79,netbeans-6.9.1-201007282301/dlight.visualizers/src/org/netbeans/modules/dlight/visualizers/CallStackTopComponent.java,29,38,BP,112,,,
14,ok,15110171_0.java,23,40,struts2-2.2.1-all/struts-2.2.1/src/xwork-core/src/main/java/com/opensymphony/xwork2/validator/validators/StringLengthFieldValidator.java,25,42,QS,113,,,
2005,simian,4207100_2.java,18,30,hibernate-release-4/hibernate-release-4.2.2.Final/project/hibernate-core/src/test/java/org/hibernate/test/annotations/derivedidentities/bidirectional/Product.java,33,45,BP,113,,,
1092,scc,19220757_0.java,1,17,eclipse_SDK/eclipse_SDK-4.3/src/src/org/apache/lucene/search/TopTermsRewrite.java,44,59,BP,114,,,
340,scc,24796308_0.java,1,14,hsqldb-2/hsqldb-2.0.0/hsqldb/src/org/hsqldb/lib/HsqlArrayList.java,70,85,EX,115,,,
